2025-03-19 18:50:00,657 - INFO - Starting post-deployment data restoration
2025-03-19 18:50:00,744 - INFO - Database connection established
2025-03-19 18:50:00,744 - INFO - Transaction started
2025-03-19 18:50:00,758 - INFO - Data loaded from migration_data.json
2025-03-19 18:50:00,758 - INFO - === PRE-DEPLOYMENT DATA COUNTS (FROM JSON) ===
2025-03-19 18:50:00,759 - INFO - Committee Reports: 52
2025-03-19 18:50:00,759 - INFO - Agenda Items: 209
2025-03-19 18:50:00,759 - INFO - Removed Agenda Items: 19
2025-03-19 18:50:00,759 - INFO - Published Agenda Items: 34
2025-03-19 18:50:00,760 - INFO - Roll Calls: 1606
2025-03-19 18:50:00,760 - INFO - Published Roll Calls: 0
2025-03-19 18:50:00,760 - INFO - Agenda Item Actions: 14
2025-03-19 18:50:00,760 - INFO - Published Agenda Item Actions: 2
2025-03-19 18:50:00,760 - INFO - Updating CommitteeReports table with additional fields...
2025-03-19 18:50:00,919 - INFO - Updated 52 committee reports with additional fields
2025-03-19 18:50:00,919 - INFO - Inserting data into CommitteeReportAgendaItems...
2025-03-19 18:50:00,919 - INFO - Found 31 published items and 19 removed items
2025-03-19 18:50:00,923 - INFO - Flagging item as published: Meeting ID 1283, Agenda Item ID 4400
2025-03-19 18:50:00,931 - INFO - Flagging item as published: Meeting ID 1301, Agenda Item ID 14774
2025-03-19 18:50:00,954 - INFO - Flagging item as published: Meeting ID 944, Agenda Item ID 3406
2025-03-19 18:50:01,000 - INFO - Flagging item as published: Meeting ID 1282, Agenda Item ID 4392
2025-03-19 18:50:01,109 - INFO - Flagging item as published: Meeting ID 1291, Agenda Item ID 4438
2025-03-19 18:50:01,110 - INFO - Flagging item as published: Meeting ID 1291, Agenda Item ID 4439
2025-03-19 18:50:01,111 - INFO - Flagging item as published: Meeting ID 1291, Agenda Item ID 4440
2025-03-19 18:50:01,112 - INFO - Flagging item as published: Meeting ID 1292, Agenda Item ID 4441
2025-03-19 18:50:01,115 - INFO - Flagging item as published: Meeting ID 1292, Agenda Item ID 4442
2025-03-19 18:50:01,117 - INFO - Flagging item as published: Meeting ID 1292, Agenda Item ID 4443
2025-03-19 18:50:01,119 - INFO - Flagging item as published: Meeting ID 1292, Agenda Item ID 4444
